id,name,lat,lon
4842,西太子堂,35.641389,139.669611
3443,若林（東京都）,35.642666,139.66286
3821,松陰神社前,35.640702,139.658414
4606,世田谷,35.640305,139.65411
4019,上町,35.640028,139.650028
1636,宮の坂,35.644416,139.648194
3099,山下（東京都）,35.650556,139.649722
3834,松原（東京都）,35.656667,139.645278
948,下神明,35.605556,139.729444
2187,戸越公園,35.605611,139.721528
6021,中延,35.602434,139.715873
644,荏原町,35.600556,139.710833
1472,旗の台,35.601667,139.705833
8356,北千束,35.603027,139.696583
5529,大岡山,35.604138,139.689194
9027,緑が丘（東京都）,35.603166,139.682444
3330,自由が丘（東京都）,35.604167,139.671944
1924,九品仏,35.602083,139.664167
7727,尾山台,35.603722,139.657083
6919,等々力,35.605194,139.651027
4076,上野毛,35.608694,139.642027
7197,二子玉川,35.608723,139.630142
7198,二子新地,35.603722,139.625611
5614,大崎広小路,35.619167,139.725611
2186,戸越銀座,35.612749,139.718166
643,荏原中延,35.606389,139.714722
6215,長原（東京都）,35.599028,139.700999
5277,洗足池,35.596444,139.694138
5046,石川台,35.593889,139.688611
5121,雪が谷大塚,35.588666,139.684194
2313,御嶽山,35.582027,139.685611
1591,久が原,35.576222,139.689028
5165,千鳥町,35.569722,139.694722
5943,池上,35.568638,139.706138
9067,蓮沼,35.561111,139.711667
5946,池尻大橋,35.647555,139.687778
1944,駒沢大学,35.630278,139.665
2891,桜新町,35.628333,139.6475
8889,用賀,35.623056,139.636944
5504,代官山,35.644972,139.706777
6133,中目黒,35.641147,139.702214
8866,祐天寺,35.634167,139.694167
1216,学芸大学,35.625278,139.688333
6556,都立大学,35.614722,139.679722
6459,田園調布,35.593889,139.670556
5463,多摩川,35.586389,139.671944
4200,新丸子,35.577139,139.665166
7965,武蔵小杉,35.572653,139.666472
7857,不動前,35.622373,139.716972
7964,武蔵小山,35.617166,139.707611
4800,西小山,35.612139,139.702
5276,洗足,35.606972,139.697639
803,奥沢,35.600638,139.675472
6547,都庁前,35.687439,139.696436
9217,新宿西口,35.690053,139.702361
9213,若松河田,35.695997,139.721303
9211,牛込柳町,35.696247,139.728525
9210,牛込神楽坂,35.697639,139.739
3582,春日（東京都）,35.705249,139.755846
9215,上野御徒町,35.704692,139.776636
9216,新御徒町,35.703692,139.786275
5419,蔵前,35.702293,139.795563
9226,両国〔大江戸線〕,35.69365,139.800658
4388,森下（東京都）,35.684757,139.801524
9214,勝どき,35.655778,139.780417
9221,築地市場,35.661636,139.770108
5767,大門（東京都）,35.653417,139.759167
9220,赤羽橋,35.651803,139.746747
9202,国立競技場,35.676303,139.717583
3053,三田（東京都）,35.645133,139.752021
3415,芝公園,35.650221,139.752944
2292,御成門,35.657778,139.754611
7018,内幸町,35.666944,139.758889
7454,白山（東京都）,35.718136,139.755435
5147,千石,35.724778,139.747917
4839,西巣鴨,35.740194,139.732027
4351,新板橋,35.745583,139.722694
7600,板橋区役所前,35.748027,139.713472
7601,板橋本町,35.757833,139.708861
8507,本蓮沼,35.765583,139.705417
3261,志村坂上,35.773083,139.698083
3262,志村三丁目,35.774306,139.689472
9066,蓮根,35.780833,139.682222
4847,西台,35.783694,139.676749
2621,高島平,35.785611,139.664527
4229,新高島平,35.786833,139.657721
3612,曙橋,35.689083,139.725777
3710,小川町（東京都）,35.692,139.77036
1443,岩本町,35.692305,139.77825
7372,馬喰横山,35.688832,139.785944
7848,浜町,35.685333,139.791028
1542,菊川（東京都）,35.685111,139.809306
4862,西大島,35.686083,139.8295
5730,大島（東京都）,35.686667,139.838889
6781,東大島,35.686528,139.850388
5300,船堀,35.680499,139.866944
460,一之江,35.682778,139.886111
4580,瑞江,35.690278,139.901111
3399,篠崎,35.70286,139.906972
4908,西馬込,35.584028,139.709527
7374,馬込,35.59325,139.714972
2185,戸越,35.611083,139.719388
2643,高輪台,35.628111,139.733277
8178,宝町（東京都）,35.672416,139.775278
6811,東日本橋,35.688944,139.788056
8471,本所吾妻橋,35.705278,139.807527
2957,三ノ輪橋,35.729032,139.794709
9212,荒川一中前,35.73055,139.792046
2490,荒川区役所前,35.731793,139.789599
2493,荒川二丁目,35.735445,139.787874
2491,荒川七丁目,35.738726,139.787449
6192,町屋駅前,35.739574,139.784106
6193,町屋二丁目,35.740541,139.779999
6824,東尾久三丁目,35.742326,139.777324
1975,熊野前,35.745915,139.772754
1638,宮ノ前,35.746815,139.768489
3719,小台,35.747359,139.765139
2494,荒川遊園地前,35.747534,139.761133
2492,荒川車庫前,35.747679,139.755744
1250,梶原,35.747863,139.751061
657,栄町（東京都）,35.747683,139.745527
841,王子駅前,35.749843,139.741194
7695,飛鳥山,35.746936,139.740619
5833,滝野川一丁目,35.7441,139.738646
4700,西ヶ原四丁目,35.741357,139.736198
4226,新庚申塚,35.738287,139.733878
2407,庚申塚,35.736384,139.732986
5372,巣鴨新田,35.732292,139.730989
5720,大塚駅前,35.728274,139.732529
2359,向原（東京都）,35.7258,139.728305
6785,東池袋四丁目,35.72202,139.723285
2937,都電雑司ヶ谷,35.720925,139.721137
1219,学習院下,35.713117,139.715758
8621,面影橋,35.709803,139.717441
6636,東雲（東京都）,35.6375,139.807222
2665,国際展示場（りんかい線）,35.631134,139.79495
6669,東京テレポート,35.624194,139.781332
9239,天王洲アイル（りんかい線）,35.617403,139.754083
9321,品川シーサイド,35.606178,139.752944
1789,とうきょうスカイツリー[業平橋],35.707111,139.812582
650,曳舟,35.715139,139.819916
6686,東向島,35.721222,139.822472
3902,鐘ヶ淵,35.73036,139.823528
8431,堀切,35.739944,139.820611
1690,牛田（東京都）,35.741305,139.815
3701,小菅,35.755333,139.816055
2245,五反野,35.762805,139.812694
7403,梅島,35.768999,139.801361
4812,西新井,35.774306,139.793722
5968,竹ノ塚,35.790999,139.794167
5876,谷塚,35.81161,139.804944
3718,小村井,35.707055,139.830694
6629,東あずま,35.703999,139.834888
1523,亀戸水神,35.696667,139.836528
8370,北池袋,35.737961,139.720154
986,下板橋,35.741833,139.718889
5618,大山（東京都）,35.745221,139.705889
6122,中板橋,35.752917,139.697917
86,ときわ台（東京都）,35.755611,139.6925
4037,上板橋,35.760278,139.679444
6837,東武練馬,35.765305,139.665861
953,下赤塚,35.767194,139.648472
4635,成増,35.774361,139.636138
4246,新柴又,35.747972,139.882917
8775,矢切,35.754083,139.903083
8311,北国分,35.759722,139.917306
3488,秋山,35.762222,139.934861
6726,東松戸,35.767407,139.947136
3868,松飛台,35.772111,139.960917
5707,大町（千葉県）,35.771917,139.97675
4196,新鎌ヶ谷,35.776155,140.001636
4911,西白井,35.781166,140.034639
7439,白井,35.781471,140.057055
3689,小室,35.783694,140.079388
5173,千葉ニュータウン中央,35.796917,140.119583
498,印西牧の原,35.800417,140.170249
9199,印旛日本医大,35.784353,140.206969
9587,成田湯川,35.796278,140.294222
1948,空港第２ビル（成田第２・第３ターミナル）,35.770014,140.390751
3890,沼部,35.579306,139.676305
598,鵜の木,35.572083,139.683666
914,下丸子,35.567999,139.688527
7967,武蔵新田,35.564416,139.695777
8767,矢口渡,35.559167,139.703583
